iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
CRI,Costa Rica,Latin America & Caribbean,73208.88,732088.79,2405958.86,2405958.86,2405958.86,2405958.86,2405958.86,2405958.86,2405958.86
CUB,Cuba,Latin America & Caribbean,74935.36,749353.64,3303150.85,8167954.68,25403088.41,27919460.40,27919460.40,27919460.40,27919460.40
CUW,Curacao,Latin America & Caribbean,4807.80,48078.02,157941.57,157941.57,157941.57,157941.57,157941.57,157941.57,157941.57
CYM,Cayman Islands,Latin America & Caribbean,3242.00,32420.04,105196.75,105196.75,105196.75,105196.75,105196.75,105196.75,105196.75
CYP,Cyprus,Europe & Central Asia,15143.12,151431.25,667508.93,712549.44,712549.44,712549.44,712549.44,712549.44,712549.44
CZE,Czechia,Europe & Central Asia,407563.59,2667282.33,2667282.33,2667282.33,2667282.33,2667282.33,2667282.33,2667282.33,2667282.33
DEU,Germany,Europe & Central Asia,9977040.25,58146553.09,58146553.09,58146553.09,58146553.09,58146553.09,58146553.09,58146553.09,58146553.09
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",13700.51,134342.13,549761.42,1179964.41,2222250.68,639083.98,424413.34,424413.34,424413.34
DMA,Dominica,Latin America & Caribbean,1362.57,13625.68,60062.00,148519.91,163179.20,163179.20,163179.20,163179.20,163179.20
DNK,Denmark,Europe & Central Asia,125024.19,247760.37,247760.37,247760.37,247760.37,247760.37,247760.37,247760.37,247760.37
DOM,Dominican Republic,Latin America & Caribbean,101037.08,1010370.76,4453714.30,8522039.32,8522039.32,8522039.32,8522039.32,8522039.32,8522039.32
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",943404.48,9284190.54,38517098.26,84855058.33,170000577.98,52452928.70,23304595.76,23304595.76,23304595.76
ECU,Ecuador,Latin America & Caribbean,1554737.79,14707684.60,52538610.80,76538492.42,18520927.77,11245389.94,11245389.94,11245389.94,11245389.94
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",2902914.30,28606034.16,119276070.67,265302882.01,566968043.45,228994994.44,87779712.23,87779712.23,87779712.23
ERI,Eritrea,Sub-Saharan Africa,13890.41,134708.68,528688.78,1047866.52,1488292.24,739094.95,680558.71,680558.71,680558.71
ESP,Spain,Europe & Central Asia,672619.12,6726191.25,16689007.17,16689007.17,16689007.17,16689007.17,16689007.17,16689007.17,16689007.17
EST,Estonia,Europe & Central Asia,60527.07,515811.46,515811.46,515811.46,515811.46,515811.46,515811.46,515811.46,515811.46
ETH,Ethiopia,Sub-Saharan Africa,925792.19,9034654.25,36308388.76,75286361.28,125472959.11,61696459.64,51898963.84,51898963.84,51898963.84
FIN,Finland,Europe & Central Asia,1923626.41,4679174.75,4679174.75,4679174.75,4679174.75,4679174.75,4679174.75,4679174.75,4679174.75
FJI,Fiji,East Asia & Pacific,172089.51,1472059.67,3076566.52,997233.27,495836.85,495836.85,495836.85,495836.85,495836.85
FRA,France,Europe & Central Asia,2940125.38,27646004.37,27646004.37,27646004.37,27646004.37,27646004.37,27646004.37,27646004.37,27646004.37
FRO,Faroe Islands,Europe & Central Asia,23916.88,40951.81,40951.81,40951.81,40951.81,40951.81,40951.81,40951.81,40951.81
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,1410.00,13728.25,54691.59,111534.73,175253.09,60261.35,55970.37,55970.37,55970.37
GAB,Gabon,Sub-Saharan Africa,255441.47,2423845.57,8759146.27,14834752.76,4978057.87,2678140.13,2678140.13,2678140.13,2678140.13
GBR,United Kingdom,Europe & Central Asia,4812450.44,28863124.36,28863124.36,28863124.36,28863124.36,28863124.36,28863124.36,28863124.36,28863124.36
GEO,Georgia,Europe & Central Asia,27301.78,273017.81,1203462.49,2838883.34,2838883.34,2838883.34,2838883.34,2838883.34,2838883.34
GHA,Ghana,Sub-Saharan Africa,762109.04,7422976.14,29614457.29,60558485.30,69794770.41,16203135.29,14117411.02,14117411.02,14117411.02
GIB,Gibraltar,Europe & Central Asia,688.24,6882.39,28695.33,28695.33,28695.33,28695.33,28695.33,28695.33,28695.33
GIN,Guinea,Sub-Saharan Africa,87523.52,856637.91,3481119.11,7372617.34,13244220.04,6509178.22,4763492.18,4763492.18,4763492.18
GMB,"Gambia, The",Sub-Saharan Africa,8481.33,83221.63,341446.20,736475.14,1411458.07,643610.99,396162.20,396162.20,396162.20
GNB,Guinea-Bissau,Sub-Saharan Africa,11090.48,108674.11,443560.96,947297.07,1752877.57,936772.42,671682.60,671682.60,671682.60
GNQ,Equatorial Guinea,Sub-Saharan Africa,127399.60,1197603.71,4176996.37,6612041.06,1779396.08,1331175.33,1331175.33,1331175.33,1331175.33
GRC,Greece,Europe & Central Asia,170022.22,1700222.23,5017910.09,5017910.09,5017910.09,5017910.09,5017910.09,5017910.09,5017910.09
GRD,Grenada,Latin America & Caribbean,4951.65,48475.63,197164.46,418275.27,730092.54,153379.69,121887.11,121887.11,121887.11
