iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
TUV,Tuvalu,East Asia & Pacific,554.49,5498.91,23471.05,54420.38,127065.25,148179.41,148099.54,148099.54,148099.54
TZA,Tanzania,Sub-Saharan Africa,677384.01,6691143.92,28114227.83,63018190.94,120413125.84,122379858.55,122037073.68,122037073.68,122037073.68
UGA,Uganda,Sub-Saharan Africa,837334.05,8257998.57,34476013.94,76182691.87,137121967.80,125569707.85,125569707.85,125569707.85,125569707.85
UKR,Ukraine,Europe & Central Asia,333439.96,3334399.62,14698033.52,36313891.00,83808977.24,84774394.96,84774394.96,84774394.96,84774394.96
URY,Uruguay,Latin America & Caribbean,512297.46,5122974.60,22582072.03,44813698.21,75096243.11,75096243.11,75096243.11,75096243.11,75096243.11
USA,United States,North America,12881878.28,128474480.79,563564189.28,1386721509.15,4206136663.04,9388336356.06,10981039582.33,10981039582.33,10981039582.33
UZB,Uzbekistan,Europe & Central Asia,95359.94,953599.42,4203466.27,10394233.73,32327020.51,83062561.61,85067316.57,85067316.57,85067316.57
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,2357.68,23520.40,102737.06,249613.96,727489.71,1732003.21,1940513.04,1940513.04,1940513.04
VEN,"Venezuela, RB",Latin America & Caribbean,384429.01,3834629.68,16741799.79,40639181.21,118014777.72,265101401.43,298801748.62,298801748.62,298801748.62
VGB,British Virgin Islands,Latin America & Caribbean,1911.09,19110.88,84240.76,208308.60,647858.85,1701232.04,1701232.04,1701232.04,1701232.04
VIR,Virgin Islands (U.S.),Latin America & Caribbean,4266.78,42667.82,188079.76,465079.25,1446439.13,3153900.55,3153900.55,3153900.55,3153900.55
VNM,Viet Nam,East Asia & Pacific,251908.41,2519084.09,11104122.68,27458016.62,85396950.77,236539701.79,275229872.08,275229872.08,275229872.08
VUT,Vanuatu,East Asia & Pacific,19069.97,184778.11,715660.40,1304078.86,1326066.07,1326066.07,1326066.07,1326066.07,1326066.07
WSM,Samoa,East Asia & Pacific,2130.43,20472.27,76353.53,123385.25,117613.00,117613.00,117613.00,117613.00,117613.00
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",2876940.31,28590913.20,123049458.10,290240011.08,748041284.20,1024677961.40,981905336.26,981905336.26,981905336.26
ZAF,South Africa,Sub-Saharan Africa,4081260.90,39900429.91,160655342.30,285067808.24,348209539.98,348209539.98,348209539.98,348209539.98,348209539.98
ZMB,Zambia,Sub-Saharan Africa,4751168.58,46108571.32,179826319.62,334350003.40,344602781.47,342035846.23,342035846.23,342035846.23,342035846.23
ZWE,Zimbabwe,Sub-Saharan Africa,25686666.52,248690200.23,959747901.53,1728734118.87,1817640395.22,1817640395.22,1817640395.22,1817640395.22,1817640395.22
