no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
318,Group 11-21,v2 mini,"28 October 2025, 00:43",28,,28,Success
319,Group 10-37,v2 mini,"29 October 2025, 16:35",29,,29,Success
320,Group 11-23,v2 mini,"31 October 2025, 20:41",28,,28,Success
321,Group 6-81,v2 mini,"6 November 2025, 01:31",29,,29,Success
322,Group 11-14,v2 mini,"6 November 2025, 21:13",28,,28,Success
323,Group 10-51,v2 mini,"9 November 2025, 08:10",29,,29,Success
324,Group 6-87,v2 mini,"11 November 2025, 03:21",29,,29,Success
325,Group 6-89,v2 mini,"15 November 2025, 03:08",29,,29,Success
326,Group 6-85,v2 mini,"15 November 2025, 06:44",29,,29,Success
327,Group 6-94,v2 mini,"19 November 2025, 00:12",29,,29,Success
328,Group 6-78,v2 mini,"21 November 2025, 03:39",29,,29,Success
329,Group 6-79,v2 mini,"22 November 2025, 07:53",29,,29,Success
330,Group 11-30,v2 mini,"23 November 2025, 08:48",28,,28,Success
331,Group 6-86,v2 mini,"1 December 2025, 07:44",29,,29,Success
332,Group 15-10,v2 mini,"2 December 2025, 05:28",27,,27,Success
333,Group 6-95,v2 mini,"2 December 2025, 22:18",29,,29,Success
334,Group 11-25,v2 mini,"4 December 2025, 20:42",28,,28,Success
335,Group 11-15,v2 mini,"7 December 2025, 17:58",28,,28,Success
336,Group 6-92,v2 mini,"8 December 2025, 22:26",29,,29,Success
337,Group 15-11,v2 mini,"10 December 2025, 11:40",27,,27,Success
338,Group 6-90,v2 mini,"11 December 2025, 22:01",29,,29,Success
339,Group 15-12,v2 mini,"14 December 2025, 05:49",27,,27,Success
340,Group 6-82,v2 mini,"15 December 2025, 05:25",29,,29,Success
341,Group 6-99,v2 mini,"17 December 2025, 13:42",29,,29,Success
342,Group 15-13,v2 mini,"17 December 2025, 15:27",27,,27,Success
343,Group 6-88,v2 mini,"4 January 2026, 06:48",29,,29,Success
344,Group 6-96,v2 mini,"9 January 2026, 21:41",29,,29,Success
345,Group 6-97,v2 mini,"12 January 2026, 21:08",29,,29,Success
346,Group 6-98,v2 mini,"14 January 2026, 18:08",29,,29,Success
347,Group 6-100,v2 mini,"18 January 2026, 23:31",29,,29,Success
348,Group 17-30,v2 mini,"22 January 2026, 05:47",25,,25,Success
349,Group 17-20,v2 mini,"25 January 2026, 17:30",25,,25,Success
350,Group 17-19,v2 mini,"29 January 2026, 17:53",25,,25,Success
351,Group 6-101,v2 mini,"30 January 2026, 07:22",29,,29,Success
352,Group 17-32,v2 mini,"2 February 2026, 15:47",25,,25,Success
353,Group 17-33,v2 mini,"7 February 2026, 20:58",25,,25,Success
354,Group 17-34,v2 mini,"11 February 2026, 17:11",24,,24,Success
355,Group 17-13,v2 mini,"15 February 2026, 01:59",24,,24,Success
356,Group 6-103,v2 mini,"16 February 2026, 07:59",29,,29,Success
357,Group 10-36,v2 mini,"20 February 2026, 01:41",29,,29,Success
358,Group 17-25,v2 mini,"21 February 2026, 09:04",25,,25,Success
359,Group 6-104,v2 mini,"22 February 2026, 03:47",28,,28,Success
360,Group 6-110,v2 mini,"24 February 2026, 23:04",29,,29,Success
361,Group 17-26,v2 mini,"25 February 2026, 14:18",25,,25,Success
362,Group 6-108,v2 mini,"27 February 2026, 12:16",29,,29,Success
363,Group 17-23,v2 mini,"1 March 2026, 10:10",25,,25,Success
364,Group 10-41,v2 mini,"2 March 2026, 02:56",29,,29,Success
365,Group 10-40,v2 mini,"4 March 2026, 10:52",29,,29,Success
366,Group 17-18,v2 mini,"8 March 2026, 14:00",25,,25,Success
367,Group 17-31,v2 mini,"13 March 2026, 14:58",25,,25,Success
